exports,description,hs-code,tariff,export_share,color
0.0, ,020711,15.0,0.0,#EE1C25
72814.0,"MEAT & OFFAL OF CHICKENS,NOT CUT IN PIECES,FROZEN",020712,15.0,0.4207152725872573,#EE1C25
93962.0,CHICKEN CUTS & EDIBLE OFFAL (INCL LIVER) FRSH/CHLD,020713,15.0,0.009257398154681788,#EE1C25
339991402.0,"CHICKEN CUTS AND EDIBLE OFFAL (INC LIVERS), FROZEN",020714,15.0,10.407036570285289,#EE1C25
5097.0,DURUM WHEAT SEED,100111,15.0,0.3761792966325421,#EE1C25
0.0, ,100119,15.0,0.0,#EE1C25
2950891.0,"WHEAT AND MESLIN SEED, NESOI",100191,15.0,25.906790929039897,#EE1C25
556949686.0,"WHEAT AND MESLIN, NESOI",100199,15.0,9.6838407761551,#EE1C25
0.0, ,100510,15.0,0.0,#EE1C25
330931777.0,"CORN (MAIZE), OTHER THAN SEED CORN",100590,15.0,2.354371323078658,#EE1C25
573495.0,WHEAT OR MESLIN FLOUR,110100,15.0,0.37953832106096885,#EE1C25
0.0, ,110220,15.0,0.0,#EE1C25
0.0, ,110311,15.0,0.0,#EE1C25
0.0, ,110313,15.0,0.0,#EE1C25
0.0, ,110320,15.0,0.0,#EE1C25
0.0, ,110423,15.0,0.0,#EE1C25
137940240.0,"PREPARED OR PRESERVED CHICKEN MEAT OR OFFAL, NESOI",160232,15.0,33.52833116570724,#EE1C25
1487517563.0,"COTTON, NOT CARDED OR COMBED",520100,15.0,29.703900265120726,#EE1C25
342060.0,"COTTON, CARDED OR COMBED",520300,15.0,4.022375536957618,#EE1C25
