CTY_NAME,total_imports,CTY_CODE
CHINA,5728637741922.0,5700
MEXICO,4385957000290.0,2010
CANADA,4161437985208.0,1220
JAPAN,1701399192951.0,5880
"KOREA, SOUTH",1045098001923.0,5800
VIETNAM,880054177754.0,5520
TAIWAN,752232227129.0,5830
INDIA,740595354983.0,5330
UNITED KINGDOM,709641157360.0,4120
SWITZERLAND,605685901551.0,4419
MALAYSIA,503823524739.0,5570
THAILAND,481057471386.0,5490
BRAZIL,383666398725.0,3510
SINGAPORE,325130537037.0,5590
INDONESIA,279842959087.0,5600
ISRAEL,262242622052.0,5081
SAUDI ARABIA,259951349391.0,5170
RUSSIA,209607990036.0,4621
COLOMBIA,189557282359.0,3010
AUSTRALIA,156040796179.0,6021
PHILIPPINES,147743238383.0,5650
CHILE,145874026114.0,3370
TURKEY,140536736427.0,4890
SOUTH AFRICA,130604574392.0,7910
VENEZUELA,113630255604.0,3070
IRAQ,99818667867.0,5050
ECUADOR,99239070750.0,3310
COSTA RICA,89098340058.0,2230
PERU,88619141747.0,3330
BANGLADESH,85133514919.0,5380
CAMBODIA,77634166884.0,5550
HONG KONG,70471959312.0,5820
NORWAY,69641399785.0,4039
DOMINICAN REPUBLIC,67435001875.0,2470
ARGENTINA,64479745160.0,3570
NIGERIA,61697967003.0,7530
HONDURAS,58954333154.0,2150
NEW ZEALAND,54631150837.0,6141
SLOVAKIA,54551466129.0,4359
UNITED ARAB EMIRATES,53923455902.0,5200
GUATEMALA,53031423955.0,2050
PAKISTAN,51716896054.0,5350
TRINIDAD AND TOBAGO,48279200894.0,2740
NICARAGUA,46783264382.0,2190
KUWAIT,42953865669.0,5130
ALGERIA,38199763041.0,7210
SRI LANKA,35136643710.0,5420
ANGOLA,32813142005.0,7620
EL SALVADOR,29699485352.0,2110
EGYPT,27103386031.0,7290
