HTSUS,category
02011005,flat
09042273,flat
27074000,flat
28492010,flat
40011000,flat
75011000,flat
02011010,flat
09042276,flat
27075000,flat
28492020,flat
40012100,flat
75021000,flat
02011050,flat
09042280,flat
27079100,flat
28499030,flat
40012200,flat
75022000,flat
02012002,flat
09051000,flat
27079910,flat
28539010,flat
40012900,flat
75030000,flat
02012004,flat
09052000,flat
27079920,flat
28539090,flat
40013000,flat
75040000,flat
02012006,flat
09061100,flat
27079940,flat
29031905,flat
41041120,flat
75089050,flat
02012010,flat
09061900,flat
27079951,flat
29031910,flat
41044150,flat
79011100,flat
02012030,flat
09062000,flat
27079955,flat
29031930,flat
41044910,flat
79011210,flat
02012050,flat
09071000,flat
27079959,flat
29031960,flat
41044950,flat
79011250,flat
02012080,flat
09072000,flat
27079990,flat
29152930,flat
41071120,flat
79012000,flat
02013002,flat
09081100,flat
27081000,flat
29362100,flat
41071220,flat
79020000,flat
02013004,flat
09081200,flat
27082000,flat
29362200,flat
43021960,flat
79039030,flat
02013006,flat
09082100,flat
27090010,flat
29362300,flat
44034100,flat
79070060,flat
02013010,flat
09082220,flat
27090020,flat
29362401,flat
44034200,flat
80011000,flat
02013030,flat
09082240,flat
27101215,flat
29362500,flat
44034902,flat
80012000,flat
02013050,flat
09083100,flat
27101218,flat
29362600,flat
44072100,flat
80020000,flat
02013080,flat
09083200,flat
27101225,flat
29362700,flat
44072200,flat
80070050,flat
02021005,flat
09092100,flat
27101245,flat
29362800,flat
44072301,flat
81011000,flat
02021010,flat
09092200,flat
27101290,flat
29362910,flat
44072500,flat
81019700,flat
02021050,flat
09093100,flat
27101906,flat
29362916,flat
44072600,flat
81032000,flat
02022002,flat
09093200,flat
27101911,flat
29362920,flat
44072700,flat
81033000,flat
02022004,flat
09096100,flat
27101916,flat
29362950,flat
44072800,flat
81039100,flat
02022006,flat
09096200,flat
27101924,flat
29369001,flat
44072902,flat
81039900,flat
02022010,flat
09101100,flat
27101925,flat
29371100,flat
4407990295,flat
81041100,flat
02022030,flat
09101200,flat
27101926,flat
29371200,flat
44083101,flat
81041900,flat
02022050,flat
09102000,flat
27101930,flat
29371900,flat
44083902,flat
81042000,flat
02022080,flat
09103000,flat
27101935,flat
29372100,flat
44092205,flat
81043000,flat
02023002,flat
09109100,flat
27101940,flat
29372200,flat
44092210,flat
81049000,flat
02023004,flat
09109907,flat
27101945,flat
29372310,flat
44092225,flat
81052030,flat
02023006,flat
09109910,flat
27101990,flat
29372325,flat
44092240,flat
81052060,flat
02023010,flat
09109920,flat
27102005,flat
29372350,flat
44092250,flat
81052090,flat
02023030,flat
09109940,flat
27102010,flat
29372910,flat
44092260,flat
81053000,flat
02023050,flat
09109950,flat
27102015,flat
29372990,flat
44092265,flat
81059000,flat
02023080,flat
09109960,flat
27102025,flat
29375000,flat
44092290,flat
81061000,flat
02061000,flat
10039040,flat
27109100,flat
29379005,flat
44123106,flat
81069000,flat
02062100,flat
10083000,flat
27109905,flat
29379010,flat
44123126,flat
81082000,flat
02062200,flat
10084000,flat
27109910,flat
29379020,flat
44123142,flat
81083000,flat
02062900,flat
10086000,flat
27109916,flat
29379040,flat
44123145,flat
81089030,flat
02102000,flat
11062090,flat
27109921,flat
29379045,flat
44123148,flat
81089060,flat
03023200,flat
11063020,flat
27109931,flat
29379090,flat
44123152,flat
81101000,flat
03023400,flat
11081400,flat
27109932,flat
29391100,flat
44123161,flat
81102000,flat
03024400,flat
11081900,flat
27109939,flat
29391910,flat
44123192,flat
81109000,flat
03024700,flat
12030000,flat
27109945,flat
29391920,flat
44124100,flat
81110047,flat
03027111,flat
12079100,flat
27109990,flat
29391950,flat
44125110,flat
81110049,flat
03027150,flat
15131100,flat
27111100,flat
29392000,flat
44125131,flat
81122100,flat
03028950,flat
15131900,flat
27111200,flat
29393000,flat
44125141,flat
81122200,flat
03032300,flat
15211000,flat
27111300,flat
29394100,flat
44125151,flat
81122900,flat
03038900,flat
15219020,flat
27111400,flat
29394200,flat
44129106,flat
81124110,flat
03043100,flat
16025005,flat
27111900,flat
29394400,flat
44129110,flat
81124150,flat
03061100,flat
16025007,flat
27112100,flat
29394500,flat
44129131,flat
81124900,flat
0409000005,flat
16025008,flat
27112900,flat
29394903,flat
44129141,flat
81125900,flat
05080000,flat
16025021,flat
27121000,flat
29395900,flat
44129151,flat
81129210,flat
07020020,flat
16025060,flat
27122000,flat
29396200,flat
46012240,flat
81129230,flat
07020040,flat
16025090,flat
27129010,flat
29396300,flat
46012280,flat
81129240,flat
07020060,flat
18010000,flat
27129020,flat
29396900,flat
46012290,flat
81129260,flat
07099905,flat
18020000,flat
27131100,flat
29397200,flat
46012940,flat
81129265,flat
07099910,flat
18031000,flat
27131200,flat
29397900,flat
46019301,flat
81129910,flat
07108015,flat
18032000,flat
27132000,flat
29411010,flat
46019305,flat
81129920,flat
07119030,flat
18040000,flat
27139000,flat
29411020,flat
46019320,flat
81129991,flat
07123200,flat
18050000,flat
27141000,flat
29411030,flat
46021205,flat
8422409181,flat
07123410,flat
19030020,flat
27149000,flat
29411050,flat
46021214,flat
84713001,flat
07123420,flat
19030040,flat
27150000,flat
29412010,flat
46021216,flat
84714101,flat
07133420,flat
20019045,flat
27160000,flat
29412050,flat
46021223,flat
84714900,flat
07133440,flat
20059160,flat
28012000,flat
29413000,flat
46021225,flat
84715001,flat
07141010,flat
20060040,flat
28042900,flat
29414000,flat
46021235,flat
84716010,flat
07141020,flat
20079940,flat
28045000,flat
29415000,flat
46021245,flat
84716020,flat
07144010,flat
20079950,flat
28046100,flat
29419010,flat
47031100,flat
84716070,flat
07144020,flat
20081915,flat
28046910,flat
29419030,flat
47031900,flat
84716080,flat
07144050,flat
20082000,flat
28046950,flat
29419050,flat
