HTSUS,category
39172100,aircraft
39172200,aircraft
39172300,aircraft
39172900,aircraft
39173100,aircraft
39173300,aircraft
39173900,aircraft
39174000,aircraft
39269045,aircraft
39269094,aircraft
39269096,aircraft
39269099,aircraft
40082920,aircraft
40091200,aircraft
40092200,aircraft
40093200,aircraft
40094200,aircraft
40113000,aircraft
40121300,aircraft
40122010,aircraft
40161000,aircraft
40169350,aircraft
40169935,aircraft
40169960,aircraft
40170000,aircraft
45049000,aircraft
48239010,aircraft
48239020,aircraft
48239031,aircraft
48239040,aircraft
48239050,aircraft
48239060,aircraft
48239067,aircraft
48239070,aircraft
48239080,aircraft
48239086,aircraft
68128090,aircraft
68129910,aircraft
68129920,aircraft
68129990,aircraft
68132000,aircraft
68138100,aircraft
68138900,aircraft
70072111,aircraft
73043130,aircraft
73043160,aircraft
73043900,aircraft
73044130,aircraft
73044160,aircraft
73044900,aircraft
73045110,aircraft
73045150,aircraft
73045910,aircraft
73045920,aircraft
73045960,aircraft
73045980,aircraft
73049010,aircraft
73049030,aircraft
73049050,aircraft
73049070,aircraft
73063010,aircraft
73063030,aircraft
73063050,aircraft
73064010,aircraft
73064050,aircraft
73065010,aircraft
73065030,aircraft
73065050,aircraft
73066110,aircraft
73066130,aircraft
73066150,aircraft
73066170,aircraft
73066910,aircraft
73066930,aircraft
73066950,aircraft
73066970,aircraft
73121005,aircraft
73121010,aircraft
73121020,aircraft
73121030,aircraft
73121050,aircraft
73121060,aircraft
73121070,aircraft
73121080,aircraft
73121090,aircraft
73129000,aircraft
73229000,aircraft
73241000,aircraft
73249000,aircraft
73262000,aircraft
74130090,aircraft
76081000,aircraft
76082000,aircraft
81089060,aircraft
83021060,aircraft
83021090,aircraft
83022000,aircraft
83024230,aircraft
83024260,aircraft
83024940,aircraft
83024960,aircraft
83024980,aircraft
83026030,aircraft
83071030,aircraft
83079030,aircraft
84071000,aircraft
84089090,aircraft
84091000,aircraft
84111140,aircraft
84111180,aircraft
84111240,aircraft
84111280,aircraft
84112140,aircraft
84112180,aircraft
84112240,aircraft
84112280,aircraft
84118140,aircraft
84118240,aircraft
84119110,aircraft
84119190,aircraft
84119910,aircraft
84119990,aircraft
84121000,aircraft
84122100,aircraft
84122940,aircraft
84122980,aircraft
84123100,aircraft
84123900,aircraft
84128010,aircraft
84128090,aircraft
84129090,aircraft
84131900,aircraft
84132000,aircraft
84133010,aircraft
84133090,aircraft
84135000,aircraft
84136000,aircraft
84137010,aircraft
84137020,aircraft
84138100,aircraft
84139110,aircraft
84139120,aircraft
84139190,aircraft
84141000,aircraft
84142000,aircraft
84143040,aircraft
84143080,aircraft
84145130,aircraft
84145190,aircraft
84145930,aircraft
84145965,aircraft
84148005,aircraft
84148016,aircraft
84148020,aircraft
84148090,aircraft
84149010,aircraft
84149030,aircraft
84149041,aircraft
84149091,aircraft
84151060,aircraft
84151090,aircraft
84158101,aircraft
84158201,aircraft
84158300,aircraft
84159040,aircraft
84159080,aircraft
84181000,aircraft
84183000,aircraft
84184000,aircraft
84186101,aircraft
84186901,aircraft
84195010,aircraft
84195050,aircraft
84198150,aircraft
84198190,aircraft
84199010,aircraft
84199020,aircraft
84199030,aircraft
84199050,aircraft
84199085,aircraft
84211900,aircraft
84212100,aircraft
84212300,aircraft
84212900,aircraft
84213100,aircraft
84213200,aircraft
84213901,aircraft
84241000,aircraft
84251100,aircraft
84251900,aircraft
84253101,aircraft
84253901,aircraft
84254200,aircraft
84254900,aircraft
84269900,aircraft
84281000,aircraft
84282000,aircraft
84283300,aircraft
84283900,aircraft
84289003,aircraft
84433100,aircraft
84433210,aircraft
84433250,aircraft
84714101,aircraft
84714900,aircraft
84715001,aircraft
84716010,aircraft
84716020,aircraft
84716070,aircraft
84716080,aircraft
84716090,aircraft
84717010,aircraft
84717020,aircraft
84717030,aircraft
84717040,aircraft
84717050,aircraft
84717060,aircraft
84717090,aircraft
84798910,aircraft
84798920,aircraft
84798965,aircraft
84798970,aircraft
84798995,aircraft
84799041,aircraft
84799045,aircraft
84799055,aircraft
84799065,aircraft
84799075,aircraft
84799085,aircraft
84799095,aircraft
84831010,aircraft
84831030,aircraft
84831050,aircraft
84833040,aircraft
84833080,aircraft
84834010,aircraft
84834030,aircraft
84834050,aircraft
84834070,aircraft
84834080,aircraft
84834090,aircraft
84835040,aircraft
84835060,aircraft
84835090,aircraft
84836040,aircraft
84836080,aircraft
84839010,aircraft
84839020,aircraft
84839030,aircraft
84839050,aircraft
84839080,aircraft
84841000,aircraft
84849000,aircraft
85012050,aircraft
85012060,aircraft
85013150,aircraft
85013160,aircraft
85013181,aircraft
85013220,aircraft
85013255,aircraft
85013261,aircraft
85013320,aircraft
85013330,aircraft
85013361,aircraft
85013461,aircraft
85014050,aircraft
85014060,aircraft
85015150,aircraft
85015160,aircraft
85015240,aircraft
85015280,aircraft
85015340,aircraft
85015360,aircraft
85016101,aircraft
85016201,aircraft
85016301,aircraft
85017100,aircraft
85017210,aircraft
85017220,aircraft
85017230,aircraft
85017290,aircraft
85018010,aircraft
85018020,aircraft
85018030,aircraft
85021100,aircraft
85021200,aircraft
85021300,aircraft
85022000,aircraft
85023100,aircraft
85023900,aircraft
85024000,aircraft
85041000,aircraft
85043120,aircraft
85043140,aircraft
85043160,aircraft
85043200,aircraft
85043300,aircraft
85044040,aircraft
85044060,aircraft
85044070,aircraft
85044085,aircraft
85044095,aircraft
85045040,aircraft
85045080,aircraft
85071000,aircraft
85072080,aircraft
85073080,aircraft
85075000,aircraft
85076000,aircraft
85078082,aircraft
85079040,aircraft
85079080,aircraft
85111000,aircraft
85112000,aircraft
85113000,aircraft
85114000,aircraft
85115000,aircraft
85118020,aircraft
85118040,aircraft
85118060,aircraft
85142040,aircraft
85168040,aircraft
85168080,aircraft
85171300,aircraft
85171400,aircraft
85176100,aircraft
85176200,aircraft
