HTSUS,description
22030000,Beer made from malt
22041000,"Sparkling wine, made from grapes"
22042120,"Effervescent grape wine, in containers holding 2 liters or less"
22042130,"Tokay wine (not carbonated), not over 14% alcohol, in containers not over 2 liters"
22042150,"Wine other than Tokay (not carbonated), of an alcoholic strength by volume not over 14%, in containers not over 2 liters"
22042160,"Marsala wine, of an alcoholic strength by volume over 14%, in containers holding 2 liters or less"
22042180,"Grape wine, other than Marsala, not sparkling or effervescent, of an alcoholic strength by volume over 14%, in containers holding 2 liters or less"
22042220,"Wine of fresh grapes, other than sparkling wine, of an alcoholic strength by volume not over 14%, in containers holding over 2 liters but not over 4 liters"
22042240,"Wine of fresh grapes, other than sparkling wine, of an alcoholic strength by volume over 14%, in containers holding over 2 liters but not over 4 liters"
22042260,"Wine of fresh grapes, other than sparkling wine, of an alcoholic strength by volume not over 14%, in containers holding over 4 liters but not over 10 liters"
22042280,"Wine of fresh grapes, other than sparkling wine, of an alcoholic strength by volume over 14%, in containers holding over 4 liters but not over 10 liters"
22042961,"Wine of fresh grapes, other than sparkling wine, of an alcoholic strength by volume not over 14%, in containers holding > 10 liters"
22042981,"Wine of fresh grapes, other than sparkling wine, of an alcoholic strength by volume over 14%, in containers holding more than 10 liters"
22051030,"Vermouth, in containers holding 2 liters or less"
22060015,"Cider, fermented, whether still or sparkling"
22060030,Prune wine
22060045,Rice wine or sake
22060060,"Effervescent wine, nesoi"
22060090,"Fermented beverages (other than grape wine, beer, cider, prune wine, sake, vermouth or other effervescent wines)"
22071030,"Undenatured ethyl alcohol, of an alcoholic strength by volume of 80% or higher, for beverage purposes"
22082010,Pisco and singani
22082020,"Grape brandy, excluding pisco and singani, in containers each holding not over 4 liters, not over $2.38/liter"
22082030,"Grape brandy, excluding pisco and singani, in containers each holding not over 4 liters, valued over $2.38 to $3.43/liter"
22082040,"Grape brandy, excluding pisco and singani, in containers each holding not over 4 liters, valued over $3.43/liter"
22082050,"Grape brandy, excluding pisco and singani, in containers each holding over 4 liters, valued not over $2.38/liter"
22082060,"Grape brandy, excluding pisco and singani, in containers each holding over 4 liters, valued over $2.38/liter"
22083030,Irish and Scotch whiskies
22083060,"Whiskies, other than Irish and Scotch whiskies"
22084020,"Rum and tafia, in containers each holding not over 4 liters, valued not over $3/liter"
22084040,"Rum and tafia, in containers each holding not over 4 liters, valued over $3/liter"
22084060,"Rum and tafia, in containers each holding over 4 liters, valued not over $0.69/liter"
22084080,"Rum and tafia, in containers each holding over 4 liters, valued over $0.69/liter"
22085000,Gin and Geneve
22086010,"Vodka, in containers each holding not over 4 liters, valued not over $2.05/liter"
22086020,"Vodka, in containers each holding not over 4 liters, valued over $2.05/liter"
22086050,"Vodka, in containers each holding over 4 liters"
22087000,Liqueurs and cordials
22089010,"Bitters, fit for use as beverages"
22089012,"Slivovitz brandy, in containers each holding not over 4 liters, valued not over $3.43/liter"
22089014,"Slivovitz brandy, in containers each holding over 4 liters, valued not over $3.43/liter"
22089015,"Slivovitz brandy, valued over $3.43/liter"
22089020,"Brandy, except slivovitz, in containers each holding not over 4 liters, valued not over $2.38/liter"
22089025,"Brandy, except grape brandy and slivovitz, in containers each holding not over 4 liters, valued over $2.38 but not over $3.43/liter"
22089030,"Brandy, except grape brandy and slivovitz, in containers each holding not over 4 liters, valued over $3.43/liter"
22089035,"Brandy, except grape brandy and slivovitz, in containers each holding over 4 liters, valued not over $2.38/liter"
22089040,"Brandy, except grape brandy and slivovitz, in containers each holding over 4 liters, valued over $2.38/liter"
22089050,"Tequila, in containers each holding not over 4 liters"
22089072,"Mescal, in containers each holding not over 4 liters"
22089075,"Spirits nesoi, fit for use as beverages or for beverage purposes"
33011910,Essential oils of grapefruit
44130000,"Densified wood, in blocks, plates, strips or profile shapes"
44199091,"Wooden tableware and kitchenware of wood other than of bamboo or tropical wood, other than forks and spoons"
44209080,"Wood marquetry and inlaid wood; wooden articles of furniture, nesoi"
44219160,"Skewers, candy sticks, ice cream sticks, tongue depressors, drink mixers and similar wares, other than toothpicks, of bamboo"
44219170,"Pickets, palings, posts and rails of bamboo, sawn; assembled fence sections of bamboo"
46021980,"Basketwork and other articles, nesoi, of vegetable materials, nesoi"
48041100,"Uncoated, unbleached kraftliner, in rolls or sheets"
48062000,"Greaseproof papers, in rolls or sheets"
48101319,"Paper/paperboard for graphic use nesoi, coated with an inorganic substance, weighing not more than 150 g/m2, not containing more than 10% fibers obtained by a mechanical or chemi-mechanical process, in rolls over 15 cm wide"
48115960,"Paper and paperboard, nonbleached or bleached and weighing less than 150 g/m2, coated, impregnated or covered with plastics, in rolls not over 15 cm wide or in rectangular sheets nesoi"
48119080,"Paper, paperboard, cellulose wadding and webs of cellulose fibers, nesoi, weighing over 30 g/m2, in certain size strips, rolls or sheets"
48119090,"Paper, paperboard, cellulose wadding and webs of cellulose fibers, nesoi, in rolls not over 15 cm wide or in rectangular sheets nesoi"
95069925,"Ice-hockey and field-hockey articles and equipment (other than balls and skates), and parts and accessories thereof"
