3406.00.90,"Candles, tapers and the like.",Other
3506.10.00,"Prepared glues and other prepared adhesives, not elsewhere specified or included; products suitable for use as glues or adhesives, put up for retail sale as glues or adhesives, not exceeding a net weight of 1 kg.","Products suitable for use as glues or adhesives, put up for retail sale as glues or adhesives, not exceeding a net weight of 1 kg"
6601.10.00,"Umbrellas and sun umbrellas (including walking-stick umbrellas, garden umbrellas and similar umbrellas).",Garden or similar umbrellas
6601.91.00,"Umbrellas and sun umbrellas (including walking-stick umbrellas, garden umbrellas and similar umbrellas).",Other: Having a telescopic shaft
6601.99.00,"Umbrellas and sun umbrellas (including walking-stick umbrellas, garden umbrellas and similar umbrellas).",Other: Other
6602.00.10,"Walking-sticks, seat-sticks, whips, riding-crops and the like.",Canes for use of a public hospital
6602.00.90,"Walking-sticks, seat-sticks, whips, riding-crops and the like.",Other
6911.10.90,"Tableware, kitchenware, other household articles and toilet articles, of porcelain or china.",Tableware and kitchenware: Other
6911.90.00,"Tableware, kitchenware, other household articles and toilet articles, of porcelain or china.",Other
6912.00.10,"Ceramic tableware, kitchenware, other household articles and toilet articles, other than of porcelain or china.","Undecorated coffee mugs of earthenware or stoneware, for use in the manufacture of decorated coffee mugs by kiln-fired decoration; Undecorated tableware of semi-porcelain or white granite, of a thickness of 3 mm or more, for use in the manufacture of decorated heavy duty tableware for hotel, restaurant or institutional use"
6912.00.90,"Ceramic tableware, kitchenware, other household articles and toilet articles, other than of porcelain or china.",Other
6913.10.00,Statuettes and other ornamental ceramic articles.,Of porcelain or china
6913.90.90,Statuettes and other ornamental ceramic articles.,Other: Other
6914.10.90,Other ceramic articles.,Of porcelain or china: Other
6914.90.00,Other ceramic articles.,Other
7108.12.00,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.",Non-monetary: Other unwrought forms
7108.13.00,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.",Non-monetary: Other semi-manufactured forms
7110.11.00,"Platinum, unwrought or in semi-manufactured forms, or in powder form.",Platinum: Unwrought or in powder form
7110.19.00,"Platinum, unwrought or in semi-manufactured forms, or in powder form.",Platinum: Other
7112.91.00,"Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal or precious metal compounds, of a kind used principally for the recovery of precious metal other than goods of heading 85.49.","Other: Of gold, including metal clad with gold but excluding sweepings containing other precious metals"
7112.99.00,"Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal or precious metal compounds, of a kind used principally for the recovery of precious metal other than goods of heading 85.49.",Other: Other
