hts_code,digits
39172100,8
39172200,8
39172300,8
39172900,8
39173100,8
39173300,8
39173900,8
39174000,8
39269045,8
39269094,8
39269096,8
39269099,8
40082920,8
40091200,8
40092200,8
40093200,8
40094200,8
40113000,8
40121300,8
40122010,8
40161000,8
40169350,8
40169935,8
40169960,8
40170000,8
45049000,8
48239010,8
48239020,8
48239031,8
48239040,8
48239050,8
48239060,8
48239067,8
48239070,8
48239080,8
48239086,8
68128090,8
68129910,8
68129920,8
68129990,8
68132000,8
68138100,8
68138900,8
70072111,8
73043130,8
73043160,8
73043900,8
73044130,8
73044160,8
73044900,8
73045110,8
73045150,8
73045910,8
73045920,8
73045960,8
73045980,8
73049010,8
73049030,8
73049050,8
73049070,8
73063010,8
73063030,8
73063050,8
73064010,8
73064050,8
73065010,8
73065030,8
73065050,8
73066110,8
73066130,8
73066150,8
73066170,8
73066910,8
73066930,8
73066950,8
73066970,8
73121005,8
73121010,8
73121020,8
73121030,8
73121050,8
73121060,8
73121070,8
73121080,8
73121090,8
73129000,8
73229000,8
73241000,8
73249000,8
73262000,8
74130090,8
76081000,8
76082000,8
83021060,8
83021090,8
83022000,8
83024230,8
83024260,8
83024940,8
83024960,8
83024980,8
83026030,8
83071030,8
83079030,8
84071000,8
84089090,8
84091000,8
84111140,8
84111180,8
84111240,8
84111280,8
84112140,8
84112180,8
84112240,8
84112280,8
84118140,8
84118240,8
84119110,8
84119190,8
84119910,8
84119990,8
84121000,8
84122100,8
84122940,8
84122980,8
84123100,8
84123900,8
84128010,8
84128090,8
84129090,8
84131900,8
84132000,8
84133010,8
84133090,8
84135000,8
84136000,8
84137010,8
84137020,8
84138100,8
84139110,8
84139120,8
84139190,8
84141000,8
84142000,8
84143040,8
84143080,8
84145130,8
84145190,8
84145930,8
84145965,8
84148005,8
84148016,8
84148020,8
84148090,8
84149010,8
84149030,8
84149041,8
84149091,8
84151060,8
84151090,8
84158101,8
84158201,8
84158300,8
84159040,8
84159080,8
84181000,8
84183000,8
84184000,8
84186101,8
84186901,8
84195010,8
84195050,8
84198150,8
84198190,8
84199010,8
84199020,8
84199030,8
84199050,8
84199085,8
84211900,8
84212100,8
84212300,8
84212900,8
84213100,8
84213200,8
84213901,8
84241000,8
84251100,8
84251900,8
84253101,8
84253901,8
84254200,8
84254900,8
84269900,8
84281000,8
84282000,8
84283300,8
84283900,8
84289003,8
84433100,8
84433210,8
84433250,8
84798910,8
84798920,8
84798965,8
84798970,8
84798995,8
84799041,8
84799045,8
84799055,8
84799065,8
84799075,8
84799085,8
84799095,8
84831010,8
84831030,8
84831050,8
84833040,8
84833080,8
84834010,8
84834030,8
84834050,8
84834070,8
84834080,8
84834090,8
84835040,8
84835060,8
84835090,8
84836040,8
84836080,8
84839010,8
84839020,8
84839030,8
84839050,8
84839080,8
84841000,8
84849000,8
85012050,8
85012060,8
85013150,8
85013160,8
85013181,8
85013220,8
85013255,8
85013261,8
85013320,8
85013330,8
85013361,8
85013461,8
85014050,8
85014060,8
85015150,8
85015160,8
85015240,8
85015280,8
85015340,8
85015360,8
85016101,8
85016201,8
85016301,8
85017100,8
85017210,8
85017220,8
85017230,8
85017290,8
85018010,8
85018020,8
85018030,8
85021100,8
85021200,8
85021300,8
85022000,8
85023100,8
85023900,8
85024000,8
85041000,8
85043120,8
85043140,8
85043160,8
85043200,8
85043300,8
85044040,8
85044060,8
85044070,8
85044085,8
85044095,8
85045040,8
85045080,8
85071000,8
85072080,8
85073080,8
85075000,8
85076000,8
85078082,8
85079040,8
85079080,8
85111000,8
85112000,8
85113000,8
85114000,8
85115000,8
85118020,8
85118040,8
85118060,8
85142040,8
85168040,8
85168080,8
85171400,8
85176100,8
85176900,8
85177100,8
85181040,8
85181080,8
85182100,8
85182200,8
85182940,8
85182980,8
85183010,8
85183020,8
85184010,8
85184020,8
85185000,8
85198110,8
85198120,8
85198125,8
85198130,8
85198141,8
85198910,8
85198920,8
85198930,8
85211030,8
85211060,8
85211090,8
85229025,8
85229036,8
85229045,8
85229058,8
85229065,8
85229080,8
85261000,8
85269100,8
85269210,8
85269250,8
85284200,8
85286200,8
85291021,8
85291040,8
85291091,8
85299004,8
85299005,8
85299006,8
85299009,8
85299013,8
85299016,8
85299019,8
85299021,8
85299024,8
85299029,8
85299033,8
85299036,8
85299039,8
85299043,8
85299046,8
85299049,8
85299055,8
85299063,8
85299068,8
85299073,8
85299077,8
85299078,8
85299081,8
85299083,8
85299087,8
85299088,8
85299089,8
85299093,8
85299095,8
85299097,8
85299098,8
85311000,8
85312000,8
85318015,8
85318090,8
85367000,8
85391000,8
85395100,8
85437042,8
85437045,8
85437060,8
85437080,8
85437091,8
85437095,8
85439012,8
85439015,8
85439035,8
85439065,8
85439068,8
85439085,8
85439088,8
85443000,8
88010000,8
88021101,8
88021201,8
88022001,8
88023001,8
88024001,8
88052900,8
88061000,8
88062100,8
88062200,8
88062300,8
88062400,8
88062900,8
88069100,8
88069200,8
88069300,8
88069400,8
88069900,8
88071000,8
88072000,8
88073000,8
88079090,8
90019040,8
90019050,8
90019060,8
90019080,8
90019090,8
90029020,8
90029040,8
90029070,8
90029085,8
90029095,8
90141010,8
90141060,8
90141070,8
90141090,8
90142020,8
90142040,8
90142060,8
90142080,8
90149010,8
90149020,8
90149040,8
90149060,8
90200040,8
90200060,8
90251120,8
90251140,8
90251940,8
90251980,8
90258010,8
90258015,8
90258020,8
90258035,8
90258040,8
90258050,8
90259006,8
90261020,8
90261040,8
90261060,8
90262040,8
90262080,8
90268020,8
90268040,8
90268060,8
90269020,8
90269040,8
90269060,8
90291080,8
90292040,8
90299080,8
90301000,8
90302005,8
90302010,8
90303100,8
90303200,8
90303334,8
90303338,8
90303901,8
90304000,8
90308400,8
90308901,8
90309025,8
90309046,8
90309066,8
90309068,8
90309084,8
90309089,8
90318040,8
90318080,8
90319021,8
90319045,8
90319054,8
90319059,8
90319070,8
90319091,8
90321000,8
90322000,8
90328100,8
90328920,8
90328940,8
90328960,8
90329021,8
90329041,8
90329061,8
90330090,8
91040005,8
91040010,8
91040020,8
91040025,8
91040030,8
91040040,8
91040045,8
91040050,8
91040060,8
91091050,8
91091060,8
91099020,8
94011040,8
94011080,8
94032000,8
94037040,8
94037080,8
94051140,8
94051160,8
94051180,8
94051940,8
94051960,8
94051980,8
94056120,8
94056140,8
94056160,8
94056920,8
94056940,8
94056960,8
94059200,8
94059920,8
94059940,8
96200050,8
96200060,8
98020040,8
98020050,8
98020060,8
98020080,8
98180005,8
98180007,8
