hts_code,digits
02011005,8
02011010,8
02011050,8
02012002,8
02012004,8
02012006,8
02012010,8
02012030,8
02012050,8
02012080,8
02013002,8
02013004,8
02013006,8
02013010,8
02013030,8
02013050,8
02013080,8
02021005,8
02021010,8
02021050,8
02022002,8
02022004,8
02022006,8
02022010,8
02022030,8
02022050,8
02022080,8
02023002,8
02023004,8
02023006,8
02023010,8
02023030,8
02023050,8
02023080,8
02061000,8
02062100,8
02062200,8
02062900,8
02102000,8
05080000,8
07020020,8
07020040,8
07020060,8
07099905,8
07099910,8
07108015,8
07119030,8
07123200,8
07123410,8
07123420,8
07133420,8
07133440,8
07141010,8
07141020,8
07144010,8
07144020,8
07144050,8
07144060,8
07145010,8
07145020,8
07145060,8
07149042,8
07149044,8
07149046,8
07149048,8
07149061,8
08011100,8
08011200,8
08011901,8
08012100,8
08012200,8
08013100,8
08013200,8
08024100,8
08024200,8
08026100,8
08026200,8
08027010,8
08027020,8
08028010,8
08028020,8
08029110,8
08029190,8
08029210,8
08029290,8
08031010,8
08031020,8
08039000,8
08043020,8
08043040,8
08043060,8
08044000,8
08045040,8
08045060,8
08045080,8
08051000,8
08055030,8
08055040,8
08072000,8
08084020,8
08084040,8
08105000,8
08106000,8
08109027,8
08109046,8
08119010,8
08119025,8
08119030,8
08119040,8
08119050,8
08119052,8
08129040,8
09011100,8
09011200,8
09012100,8
09012200,8
09019010,8
09019020,8
09021010,8
09021090,8
09022010,8
09022090,8
09023000,8
09024000,8
09030000,8
09041100,8
09041200,8
09042120,8
09042140,8
09042160,8
09042180,8
09042220,8
09042240,8
09042273,8
09042276,8
09042280,8
09051000,8
09052000,8
09061100,8
09061900,8
09062000,8
09071000,8
09072000,8
09081100,8
09081200,8
09082100,8
09082220,8
09082240,8
09083100,8
09083200,8
09092100,8
09092200,8
09093100,8
09093200,8
09096100,8
09096200,8
09101100,8
09101200,8
09102000,8
09103000,8
09109100,8
09109907,8
09109910,8
09109920,8
09109940,8
09109950,8
09109960,8
10039040,8
10083000,8
10084000,8
10086000,8
11062090,8
11063020,8
11081400,8
11081900,8
12030000,8
12079100,8
15131100,8
15131900,8
15211000,8
15219020,8
16025005,8
16025007,8
16025008,8
16025021,8
16025060,8
16025090,8
18010000,8
18020000,8
18031000,8
18032000,8
18040000,8
18050000,8
19030020,8
19030040,8
20019045,8
20059160,8
20060040,8
20079940,8
20079950,8
20081915,8
20082000,8
20089100,8
20089913,8
20089915,8
20089940,8
20089945,8
20089991,8
20091100,8
20091225,8
20091245,8
20091900,8
